; color codes (1000 bytes)
BYTE  13,  7, 14,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  6,  6,  2,  5,  5,  5,  5,  5,  2,  2,  2,  2, 14, 14, 14, 14,  2,  2,  2,  2, 14, 14, 14, 13
BYTE  13,  7, 14, 14, 14, 14, 14,  2,  2,  2,  2, 14, 14, 14, 14, 14, 14,  6,  6, 14,  5,  5,  5,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2, 14, 14, 14, 14, 14, 14, 13
BYTE  13,  7, 14, 14, 14, 14, 14, 14,  2, 14, 14,  2,  2, 14, 14, 14, 14, 14,  6,  6,  5,  5,  5,  5, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 14, 14, 14, 14, 13
BYTE  13,  7, 14, 14, 14, 14, 14, 14,  2, 14, 14, 14, 14,  2,  2, 14, 14, 14, 14,  6,  5,  5, 14, 14, 14, 14, 14, 14, 14, 14,  2, 14, 14, 14, 14, 14, 14, 14, 14, 13
BYTE  13,  7, 14, 14, 14, 14, 14, 14,  2,  2, 14, 14, 14, 14,  5,  5,  2,  2,  2,  2,  5,  5, 14, 14, 14, 14, 14, 14, 14, 14,  2, 14, 14, 14, 14, 14, 14, 14, 14, 13
BYTE  13,  7, 14,  2,  2,  2,  2,  2,  2, 14, 14, 14, 14, 14,  5,  5, 14, 14, 14,  2,  5,  5,  6, 14, 14, 14, 14, 14, 14, 14, 14,  2,  2,  5,  2,  2,  2,  2, 14, 13
BYTE  13,  7,  2,  2, 14, 14, 14, 14, 14, 14, 14, 14, 14,  1,  5,  5,  5,  5,  5, 15, 15, 15, 15, 15,  5,  5,  5,  5,  5,  5,  5,  5,  5,  2,  2, 14, 14, 14, 14, 13
BYTE  13,  7,  2, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14,  1,  5,  5, 14,  2,  2, 14,  5,  5, 14,  6,  6, 14, 14, 14, 14, 14,  2, 14, 14, 14, 14, 14, 14, 14, 14, 13
BYTE  13,  7,  2, 14, 14,  1,  5,  5, 14, 14, 14, 14, 14,  1,  5,  5,  2,  2, 14, 14, 14, 14, 14,  2,  6,  6,  2,  2,  2,  2, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13
BYTE  13,  7,  2, 14, 14, 14,  5,  5, 13, 13, 13, 13, 13, 13, 13, 13,  2, 14,  2,  2,  2, 14, 14, 14, 14,  6,  6,  2,  2,  2, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13
BYTE  13,  7,  2, 14, 14, 14,  5,  5,  2,  2,  5,  5,  5,  5,  5,  5,  2,  2,  2,  2, 14, 14, 14, 14, 14, 14,  6,  6,  2, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13
BYTE  13,  7,  2, 14, 14,  5,  5,  5,  2,  2,  2,  2,  2,  2,  2, 14, 14, 14, 14,  2,  2, 14, 14, 14, 14, 14, 14,  6,  6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 13
BYTE  13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13
BYTE   5,  5, 13, 13, 13, 13, 13, 13, 13, 13,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5
BYTE   2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2
